lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
8056,NA,NA,21.717,0,0,1,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,4290157
7940,NA,NA,19.803,0,0,2,1,33,1731,131.802,126.637,0,18609,2,NA,NA,0,N,N,286,802769
7667,4.026,4.998,4.026,3,1,2,5,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,4290227
7579,NA,1.204,1.204,0,1,0,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,724978
7777,NA,12.054,8.635,0,1,3,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,725104
8187,2.007,2.742,2.007,1,1,3,2,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,725082
7699,1.359,9.644,1.359,1,1,3,3,359,18,22.777,40.508,NA,NA,0,5.161,18634,1,N,N,2,817807
8298,7.893,NA,6.887,6,0,4,4,359,18,22.777,40.508,NA,NA,0,9.547,18635,1,N,N,2,816885
7548,NA,4.912,4.912,0,1,1,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,717804
8464,0.724,1.126,0.724,2,1,2,3,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,719500
8319,7.679,NA,7.679,1,0,2,2,33,1731,131.802,126.637,34.432,18610,1,NA,NA,0,N,N,286,802433
7710,1.592,9.547,1.592,1,1,3,2,359,18,22.777,40.508,0,18635,1,NA,NA,0,N,N,2,817877
8462,NA,5.854,5.854,0,1,0,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,808011
7555,0.462,18.889,0.462,1,1,1,2,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,725046
8180,NA,NA,9.652,0,0,0,1,280,14,30.33,7.353,NA,NA,0,NA,NA,0,N,N,0,817633
7478,0.714,NA,0.714,1,0,2,2,280,14,30.33,7.353,NA,NA,0,NA,NA,0,N,N,0,816819
7620,NA,NA,15.104,0,0,0,1,280,14,30.33,7.353,NA,NA,0,NA,NA,0,N,N,0,816813
8338,0.98,8.195,0.98,1,1,2,4,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,719490
7755,NA,9.875,4.122,0,1,0,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,719644
7671,0.62,2.345,0.62,1,1,1,3,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,4290259
8361,0.191,0.62,0.191,1,1,1,2,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,4290253
8489,NA,1.807,1.807,0,1,2,1,33,1731,131.802,126.637,NA,NA,0,0.758,18603,1,N,N,286,717136
7673,NA,13.653,13.653,0,1,0,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,723916
7876,NA,NA,16.138,0,0,1,1,33,1731,131.802,126.637,0,18612,1,NA,NA,0,N,N,286,802749
7616,25.995,NA,25.219,2,0,3,7,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,4290163
8176,0.649,1.731,0.649,1,1,2,3,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,717794
7929,0.81,122.382,0.81,2,1,3,2,33,1731,131.802,126.637,151.962,18622,1,NA,NA,0,N,N,286,806311
7931,0.686,0.844,0.686,1,1,4,3,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,723936
7977,NA,2.014,2.014,0,1,0,1,33,1731,131.802,126.637,NA,NA,0,NA,NA,0,N,N,286,724986
