NLAID,bbox_width,bbox_height,bbox_angle,bbox_area,bbox_perimeter,geo_type0,geo_type1,geo_type10,geo_type11,geo_type13,geo_type14,geo_type15,geo_type16,geo_type17,geo_type18,geo_type19,geo_type20,geo_type3,geo_type4,geo_type5,geo_type7,geo_type8,geo_type9,elev100_max,elev100_median,elev100_min,elev100_p10,elev100_p25,elev100_p50,elev100_p75,elev100_p90,elev200_max,elev200_median,elev200_min,elev200_p10,elev200_p25,elev200_p50,elev200_p75,elev200_p90,elev50_max,elev50_median,elev50_min,elev50_p10,elev50_p25,elev50_p50,elev50_p75,elev50_p90,slope100_max,slope100_median,slope100_min,slope100_p10,slope100_p25,slope100_p50,slope100_p75,slope100_p90,slope200_max,slope200_median,slope200_min,slope200_p10,slope200_p25,slope200_p50,slope200_p75,slope200_p90,slope50_max,slope50_median,slope50_min,slope50_p10,slope50_p25,slope50_p50,slope50_p75,slope50_p90,maxdepth,elev_m,index_lat,index_lon,dist_pole,lakearea_m2,lakeperim_m,dev_index,bbox_mindim,bbox_chardim
NLA06608-NELP-1330,370.759009,560.283327,24.931622,207730.090963,1862.084672,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,391.00000000000006,374,382.0000000000001,386,391.00000000000006,395,400,456,394,369,380.9999999999999,387.0000000000001,394,403,416,402,387.99999999999994,374,380.9999999999999,384,387.99999999999994,392,394.99999999999994,18.160566329956055,6.8048480220489305,0.9274099469184875,3.2866257560709133,4.820993237900284,6.8048480220489305,8.550350758947934,11.34519214393189,28.096845626831055,7.041994763111276,0,3.2866242345136527,4.923231139435981,7.041994763111276,9.80439559226094,13.360901514689127,18.160566329956055,7.704002239044795,1.3585267066955566,3.28668915077839,5.488512814855899,7.704002239044795,9.300555319099104,12.032217025756836,13.6,379.87,46.9518,-68.843,117.6052529633214,124546.925743796,2075.12183545933,1.65871649016711,370.759009,111.146378814688
NLA06608-EMAP:ME012L,2119.578153,994.663576,16.489771,2108267.185289,6228.483458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,354.99999999999994,347,347.0000000000002,350.00000000000006,354.99999999999994,361.00000000000006,370.00000000000006,512,366,344,350,355,366,381,400.00000000000006,391,352.00000000000006,347,347.00000000000006,347.00000000000006,352.00000000000006,355.9999999999999,363,54.1457633972168,7.6106825512405445,0,0.9274099469184875,3.927043641242413,7.6106825512405445,11.924292469902657,16.658991240383532,63.440792083740234,9.299040323222021,0,2.2982905215352476,5.66851879362864,9.299040323222021,13.628849417579994,23.605153333444825,32.38051223754883,6.144352346122307,0,0,1.8543341159820552,6.144352346122307,9.311762239646463,14.060596908841815,34.6,345.87,46.962321,-68.89108,331.1264125119745,1135653.08400494,6128.64198377436,1.62231983349606,994.663576,267.896015626913
NLA06608-NELP-3355,212.922836,429.768517,33.628335,91507.53158,1285.382707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,393,379,386,387.99999999999994,393,412,418,481,395.99999999999994,369,382,388.00000000000006,395.99999999999994,420,443,423,393,382,386,388,393,410,414,22.733861923217773,6.591565459156324,0,1.6444920233180447,3.2863196117844513,6.591565459156324,11.406352996826172,14.332942574973998,32.27757263183594,7.591255434355519,0,1.8543341159820559,4.468804805678255,7.591255434355519,12.871626854732337,18.481599935544118,19.989683151245117,6.082131862640381,0.9274099469184875,2.2980237673777504,3.944626515321058,6.082131862640381,10.027276992797853,13.361842155456543,5,379.87,46.944789,-68.853062,101.97894319406974,66907.8977365531,1075.76372046624,1.17320328303076,212.922836,77.8417857573296
NLA06608-ELS:1E3-002,389.57327,966.101321,35.187551,376367.250384,2711.349181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,250.99999999999997,246,247.99999999999991,248.99999999999994,250.99999999999997,253.99999999999997,256,276,253.00000000000003,246,248.00000000000003,249.9999999999999,253.00000000000003,256,262,264,250.00000000000014,246,247.00000000000003,248.00000000000003,250.00000000000014,251.99999999999997,255.00000000000003,15.440853118896484,3.0872079285137954,0,0.9274099469184878,1.6327794977858479,3.0872079285137954,4.887668291859936,6.9383801694688865,15.440853118896484,2.780288457870483,0,0.9274099469184878,1.632784756745178,2.780288457870483,3.9397853066344553,5.66943234205246,15.440853118896484,3.704791784286499,0,0.9274099469184877,1.8543341159820554,3.704791784286499,5.547544956207276,8.012751579284668,2.1,246.31,46.375055,-68.35754,171.33964605835948,233906.054931049,2326.66253359027,1.35708713145009,389.57327,121.056689442715
NLA06608-ELS:1E3-071,307.912953,297.933352,81.279038,91737.538383,1211.692611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,274,267,271.00000000000006,272,274,276,278.00000000000006,310,278,267,273.00000000000006,275.0000000000001,278,283.00000000000006,292.00000000000006,280,272.99999999999994,267,270.00000000000006,271.99999999999994,272.99999999999994,275,276,13.673035659288866,3.2617672223240772,0,1.3433570096216938,2.289242930063119,3.2617672223240772,4.571198845809705,7.062546321115899,13.673035621643066,4.128932759539295,0,1.6322025437419743,2.840422957053309,4.128932759539295,6.0295070190642495,8.656889139269499,11.280282533485304,3.261772959060144,0,1.63218373700243,2.685200521951361,3.261772959060144,4.128904855776701,5.666907071282325,1,271.83,46.345672,-68.594335,138.6559322048028,75910.0272983108,1025.8002456686,1.05028773256891,297.933352,123.265400849192
NLA06608-EMAP:ME011L,410.4823,1360.268573,68.929971,558366.171893,3541.501745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,307,295,295.99999999999983,300,307,311,314.00000000000006,336,311.00000000000006,295,298,306.00000000000006,311.00000000000006,316,321,320,303.99999999999994,295,295.99999999999983,295.99999999999983,303.99999999999994,309.0000000000001,312,24.79921531677246,5.591382220885179,0,0.9274099469184873,3.080662411761751,5.591382220885179,8.320648293230812,11.919029639557806,24.79921531677246,4.8315682285389485,0,1.6203131697471613,3.0806580236071732,4.8315682285389485,7.44822395569603,9.841397026051986,24.79921531677246,6.46024449649423,0,0.9274099469184874,3.9666205261660084,6.46024449649423,9.277812432993144,12.782217440566393,17.5,297.13,45.748209,-69.222522,188.18169602738823,432812.697983393,3277.63431872262,1.40541818738184,410.4823,159.090898303447
NLA06608-ELS:1E1-052,1137.455479,2207.725447,104.688893,2511189.405496,6690.361852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,106.99999999999996,100,100.00000000000001,102.99999999999996,106.99999999999996,110,114.00000000000003,138,109.00000000000001,98,103.00000000000003,105.99999999999997,109.00000000000001,112,117.99999999999999,119,104.99999999999999,100,100,100.99999999999996,104.99999999999999,109.00000000000001,112.00000000000003,18.750423431396484,3.936178029608942,0,1.316307455445144,2.631355952012537,3.936178029608942,5.561068474698627,7.561201681062929,18.750423431396484,3.7047917842864986,0,1.31630959556828,2.273505073444757,3.7047917842864986,5.308518250676731,6.977879345077717,18.750423431396484,4.050396742647695,0,1.3163165493123548,2.7858009119506066,4.050396742647695,6.06876431315969,7.923291003928995,15,101.3,45.207071,-68.209171,452.64392976286507,1819077.46186673,7457.74266528098,1.55982855005254,1137.455479,411.98000063182
NLA06608-NELP-0253,2189.914968,3568.266371,46.922086,7814199.936749,11516.362679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,168.43977776307946,156,156,161.00000000000003,168.43977776307946,172.54032484882578,177,204,171,156,161.00000000000003,166.99999999999997,171,178.00000000000003,186.00000000000003,185,167,156,156,156,167,170.99999999999991,174.00000000000003,17.274330139160156,4.627367496490478,0,0.9274099469184875,2.7843568178119686,4.627367496490478,6.792031444192883,9.157345277703575,17.274330139160156,4.04596714243302,0,1.3148408560822966,2.6282605451798045,4.04596714243302,6.06596234767132,7.954326524474718,17.274330139160156,4.627367496490478,0,0,2.628078530216367,4.627367496490478,7.442585980860366,9.548487583915332,24,157.69,45.152049,-68.094876,817.3998374937879,4761451.4486698,11462.5357428734,1.4818562996301,2189.914968,667.193946997047
NLA06608-ELS:1E1-096,702.699671,2210.90302,112.765674,1553600.824015,5827.205382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,107,98,100.00000000000004,104.00000000000001,107,109,112.00000000000001,125,109.00000000000001,98,102,106,109.00000000000001,111.99999999999999,115.00000000000001,116,104.99999999999997,98,98.99999999999994,102.00000000000003,104.99999999999997,108.00000000000003,109.99999999999997,15.221354484558105,3.825389349929762,0,1.6101820376038338,2.2736207059490336,3.825389349929762,5.935514680007515,8.294608789331772,15.221354484558105,3.2178116924829916,0,1.3164981256111108,1.8543341159820559,3.2178116924829916,5.252187763857666,6.977284212512258,15.221354484558105,4.820376213645935,0,1.6102098867578332,3.0753315258388336,4.820376213645935,6.795847272975766,9.159420194613613,5.4,100.39,45.219001,-68.077773,246.18642561189364,897505.759100701,5651.51943851404,1.68283552573553,702.699671,202.972665787727
NLA06608-ELS:1E1-128,288.968275,630.252123,151.368833,182122.868612,1838.440795,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,132,116,120.00000000000001,125.99999999999997,132,141.00000000000003,157,271,140,116,123.99999999999997,130,140,158,184,167,128,116,118.00000000000001,124,128,135,149,50.2907600402832,9.814367430128918,0,3.1210650459307008,5.331541866880235,9.814367430128918,13.935482501983643,22.33531379699707,50.2907600402832,9.538441520787352,0,2.777052645766063,4.803619566385064,9.538441520787352,14.636025621505938,22.354846620141938,32.915645599365234,9.802479658006755,0,3.1185212199234127,5.697790495235118,9.802479658006755,13.935491945088089,20.509117126464844,6,119.31,44.849882,-68.429254,132.64691710530096,118922.383315533,1549.9166904852,1.26786093563329,288.968275,94.3450875430429
